🍄 Mycelia v7.3 loaded

======================================================================
🍄 MYCELIA FINAL TRAINING v8.0
   Stanford (30%) + FineWeb (70%) | No compression
======================================================================

📚 Loading tokenizer...
   Vocab: 151,643

🏗️ Building model...
   181,051,920 params on cuda:0

🔥 Scheduler: peak=3.00e-04 | min=1.00e-05 | warmup=100 | total=610,351

======================================================================
🏆 BEST CHECKPOINT
======================================================================
   ✅ Model loaded
   🔥 Warm-started input_pos

   📊 Resumed: step=1,219,000 | epoch=30 | loss=4.3306
   🏆 Best loss: 4.3306
   📈 Extended training plan: 2,327,649 total steps
   🚀 LR BURST: Injecting peak LR=3.00e-04 for 500 steps
   🔥 Scheduler reset: step=1219000 | LR=3.00e-04 | 📉 Annealing
   🚀 LR BURST ACTIVE: steps 1,219,000 → 1,219,500
   ✅ Optimizer restored

📖 Loading datasets...
   📥 Loading FineWeb chunks...
   📚 Loading 500 chunks...
      100 chunks (100,000,000 tokens, 0.40 GB)
      200 chunks (200,000,000 tokens, 0.80 GB)
      300 chunks (300,000,000 tokens, 1.20 GB)
      400 chunks (400,000,000 tokens, 1.60 GB)
      500 chunks (500,000,000 tokens, 2.00 GB)
   ✅ 500 arrays | 500,000,000 tokens | 2.00 GB
   ✅ Data ready

⏱️  Tracker: 8,192 tok/step | 10.0B total

======================================================================
🚀 EPOCH 31 — STEP 1,219,000
======================================================================

Training: 1219000it [00:00, ?it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878

⏱️  Step 1,219,000 | 620371899 tok/s | 9.99/10.0 GB | 100.0% | ETA N/A | Elapsed 0:00:16

📊 Step 1,219,000 | Loss: 5.0158 | LR: 3.00e-04 | 📉 Annealing 🚀 BURST
   Coherence: 0.9486 📈
   Friction: 🟢 HARMONIZED | early=0.85 late=1.78 Δ=-0.93
Training: 1219001it [00:16, 16.29s/it]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878
Training: 1271312it [2:21:44,  6.37it/s]   FCA: α_attn_eff=1.6832 α_ffn_eff=2.8169 φ_l=0.0368 scale=0.9962
Training: 1271313it [2:21:44,  6.74it/s]   FCA: α_attn_eff=1.6817 α_ffn_eff=2.8143 φ_l=0.0368 scale=0.9953
Training: 1271314it [2:21:44,  6.96it/s]   FCA: α_attn_eff=1.6721 α_ffn_eff=2.7983 φ_l=0.0368 scale=0.9897
Training: 1271315it [2:21:45,  7.14it/s]   FCA: α_attn_eff=1.6658 α_ffn_eff=2.7877 φ_l=0.0368 scale=0.9859
Training: 1271316it [2:21:45,  7.27it/s]   FCA: α_attn_eff=1.6801 α_ffn_eff=2.8116 φ_l=0.0368 scale=0.9944
Training: 1271317it [2:21:45,  7.39it/s]   FCA: α_attn_eff=1.6705 α_ffn_eff=2.7957 φ_l=0.0368 scale=0.9887
Training: 1271318it [2:21:45,  7.45it/s]   FCA: α_attn_eff=1.6562 α_ffn_eff=2.7717 φ_l=0.0368 scale=0.9802
Training: 1271319it [2:21:45,  7.53it/s]   FCA: α_attn_eff=1.6817 α_ffn_eff=2.8143 φ_l=0.0368 scale=0.9953
Training: 1271320it [2:21:45,  6.43it/s]   FCA: α_attn_eff=1.6562 α_ffn_eff=2.7718 φ_l=0.0368 scale=0.9802
Training: 1271321it [2:21:45,  6.82it/s]   FCA: α_attn_eff=1.6721 α_ffn_eff=2.7984 φ_l=0.0368 scale=0.9897
Training: 1271322it [2:21:46,  7.05it/s]   FCA: α_attn_eff=1.6817 α_ffn_eff=2.8144 φ_l=0.0368 scale=0.9953
Training: 1271323it [2:21:46,  7.21it/s]   FCA: α_attn_eff=1.6737 α_ffn_eff=2.8011 φ_l=0.0368 scale=0.9906
Training: 1271324it [2:21:46,  7.34it/s]   FCA: α_attn_eff=1.6833 α_ffn_eff=2.8170 φ_l=0.0368 scale=0.9962
Training: 1271325it [2:21:46,  7.41it/s]   FCA: α_attn_eff=1.6817 α_ffn_eff=2.8144 φ_l=0.0368 scale=0.9953
Training: 1271326it [2:21:46,  7.41it/s]   FCA: α_attn_eff=1.6658 α_ffn_eff=2.7878 φ_l=0.0368 scale=0.9859
Training: 1271327it [2:21:46,  7.41it/s]   FCA: α_attn_eff=1.6674 α_ffn_eff=2.7904 φ_l=0.0368 scale=0.9868
Training: 1271328it [2:21:46,  6.39it/s]   FCA: α_attn_eff=1.6801 α_ffn_eff=2.8118 φ_l=0.0368 scale=0.9944
Training: 1271329it [2:21:47,  6.85it/s]   FCA: α_attn_eff=1.6833 α_ffn_eff=2.8171 φ_l=0.0368 scale=0.9962
Training: 1271330it [2:21:47,  7.03it/s]   FCA: α_attn_eff=1.6833 α_ffn_eff=2.8171 φ_l=0.0368 scale=0.9962
Training: 1271331it [2:21:47,  7.21it/s]   FCA: α_attn_eff=1.6722 α_ffn_eff=2.7985 φ_l=0.0368 scale=0.9897
Training: 1271332it [2:21:47,  7.33it/s]   FCA: α_attn_eff=1.6833 α_ffn_eff=2.8171 φ_l=0.0368 scale=0.9962
Training: 1271333it [2:21:47,  7.42it/s]   FCA: α_attn_eff=1.6706 α_ffn_eff=2.7958 φ_l=0.0368 scale=0.9887
Training: 1271334it [2:21:47,  7.48it/s]   FCA: α_attn_eff=1.6722 α_ffn_eff=2.7985 φ_l=0.0368 scale=0.9897
Training: 1271335it [2:21:47,  7.49it/s]   FCA: α_attn_eff=1.6722 α_ffn_eff=2.7985 φ_l=0.0368 scale=0.9897
Training: 1271336it [2:21:48,  6.35it/s]   FCA: α_attn_eff=1.6865 α_ffn_eff=2.8225 φ_l=0.0368 scale=0.9981
Training: 1271337it [2:21:48,  6.81it/s]   FCA: α_attn_eff=1.6738 α_ffn_eff=2.8012 φ_l=0.0368 scale=0.9906
Training: 1271338it [2:21:48,  7.04it/s]   FCA: α_attn_eff=1.6865 α_ffn_eff=2.8225 φ_l=0.0368 scale=0.9981
Training: 1271339it [2:21:48,  7.20it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8145 φ_l=0.0368 scale=0.9953
Training: 1271340it [2:21:48,  7.26it/s]   FCA: α_attn_eff=1.6722 α_ffn_eff=2.7986 φ_l=0.0368 scale=0.9897
Training: 1271341it [2:21:48,  7.34it/s]   FCA: α_attn_eff=1.6754 α_ffn_eff=2.8039 φ_l=0.0368 scale=0.9915
Training: 1271342it [2:21:48,  7.42it/s]   FCA: α_attn_eff=1.6786 α_ffn_eff=2.8092 φ_l=0.0368 scale=0.9934
Training: 1271343it [2:21:49,  7.47it/s]   FCA: α_attn_eff=1.6786 α_ffn_eff=2.8092 φ_l=0.0368 scale=0.9934
Training: 1271344it [2:21:49,  6.43it/s]   FCA: α_attn_eff=1.6770 α_ffn_eff=2.8066 φ_l=0.0368 scale=0.9925
Training: 1271345it [2:21:49,  6.88it/s]   FCA: α_attn_eff=1.6675 α_ffn_eff=2.7907 φ_l=0.0368 scale=0.9868
Training: 1271346it [2:21:49,  7.08it/s]   FCA: α_attn_eff=1.6739 α_ffn_eff=2.8013 φ_l=0.0368 scale=0.9906
Training: 1271347it [2:21:49,  7.23it/s]   FCA: α_attn_eff=1.6739 α_ffn_eff=2.8013 φ_l=0.0368 scale=0.9906
Training: 1271348it [2:21:49,  7.34it/s]   FCA: α_attn_eff=1.6675 α_ffn_eff=2.7907 φ_l=0.0368 scale=0.9868
Training: 1271349it [2:21:49,  7.36it/s]   FCA: α_attn_eff=1.6850 α_ffn_eff=2.8199 φ_l=0.0368 scale=0.9972
Training: 1271350it [2:21:49,  7.42it/s]   FCA: α_attn_eff=1.6834 α_ffn_eff=2.8173 φ_l=0.0368 scale=0.9962
Training: 1271351it [2:21:50,  7.47it/s]   FCA: α_attn_eff=1.6707 α_ffn_eff=2.7960 φ_l=0.0368 scale=0.9887
Training: 1271352it [2:21:50,  6.41it/s]   FCA: α_attn_eff=1.6787 α_ffn_eff=2.8094 φ_l=0.0368 scale=0.9934
Training: 1271353it [2:21:50,  6.80it/s]   FCA: α_attn_eff=1.6596 α_ffn_eff=2.7775 φ_l=0.0368 scale=0.9821
Training: 1271354it [2:21:50,  6.97it/s]   FCA: α_attn_eff=1.6723 α_ffn_eff=2.7987 φ_l=0.0368 scale=0.9897
Training: 1271355it [2:21:50,  7.14it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8147 φ_l=0.0368 scale=0.9953
Training: 1271356it [2:21:50,  7.28it/s]   FCA: α_attn_eff=1.6850 α_ffn_eff=2.8200 φ_l=0.0368 scale=0.9972
Training: 1271357it [2:21:50,  7.37it/s]   FCA: α_attn_eff=1.6516 α_ffn_eff=2.7641 φ_l=0.0368 scale=0.9774
Training: 1271358it [2:21:51,  7.45it/s]   FCA: α_attn_eff=1.6723 α_ffn_eff=2.7987 φ_l=0.0368 scale=0.9897
Training: 1271359it [2:21:51,  7.48it/s]   FCA: α_attn_eff=1.6723 α_ffn_eff=2.7987 φ_l=0.0368 scale=0.9897
Training: 1271360it [2:21:51,  6.41it/s]   FCA: α_attn_eff=1.6739 α_ffn_eff=2.8015 φ_l=0.0368 scale=0.9906
Training: 1271361it [2:21:51,  6.84it/s]   FCA: α_attn_eff=1.6723 α_ffn_eff=2.7988 φ_l=0.0368 scale=0.9897
Training: 1271362it [2:21:51,  7.02it/s]   FCA: α_attn_eff=1.6739 α_ffn_eff=2.8015 φ_l=0.0368 scale=0.9906
Training: 1271363it [2:21:51,  7.18it/s]   FCA: α_attn_eff=1.6707 α_ffn_eff=2.7961 φ_l=0.0368 scale=0.9887
Training: 1271364it [2:21:51,  7.30it/s]   FCA: α_attn_eff=1.6676 α_ffn_eff=2.7908 φ_l=0.0368 scale=0.9868
Training: 1271365it [2:21:52,  7.35it/s]   FCA: α_attn_eff=1.6723 α_ffn_eff=2.7988 φ_l=0.0368 scale=0.9897
Training: 1271366it [2:21:52,  7.38it/s]   FCA: α_attn_eff=1.6739 α_ffn_eff=2.8015 φ_l=0.0368 scale=0.9906
Training: 1271367it [2:21:52,  7.44it/s]   FCA: α_attn_eff=1.6660 α_ffn_eff=2.7882 φ_l=0.0368 scale=0.9859
Training: 1271368it [2:21:52,  6.37it/s]   FCA: α_attn_eff=1.6708 α_ffn_eff=2.7962 φ_l=0.0368 scale=0.9887
Training: 1271369it [2:21:52,  6.83it/s]   FCA: α_attn_eff=1.6771 α_ffn_eff=2.8068 φ_l=0.0368 scale=0.9925
Training: 1271370it [2:21:52,  7.03it/s]   FCA: α_attn_eff=1.6771 α_ffn_eff=2.8068 φ_l=0.0368 scale=0.9925
Training: 1271371it [2:21:52,  7.20it/s]   FCA: α_attn_eff=1.6835 α_ffn_eff=2.8175 φ_l=0.0368 scale=0.9962
Training: 1271372it [2:21:53,  7.29it/s]   FCA: α_attn_eff=1.6867 α_ffn_eff=2.8228 φ_l=0.0368 scale=0.9981
Training: 1271373it [2:21:53,  7.39it/s]   FCA: α_attn_eff=1.6771 α_ffn_eff=2.8068 φ_l=0.0368 scale=0.9925
Training: 1271374it [2:21:53,  7.43it/s]   FCA: α_attn_eff=1.6755 α_ffn_eff=2.8042 φ_l=0.0368 scale=0.9915
Training: 1271375it [2:21:53,  7.46it/s]   FCA: α_attn_eff=1.6803 α_ffn_eff=2.8122 φ_l=0.0368 scale=0.9944
Training: 1271376it [2:21:53,  6.40it/s]   FCA: α_attn_eff=1.6851 α_ffn_eff=2.8202 φ_l=0.0368 scale=0.9972
Training: 1271377it [2:21:53,  6.83it/s]   FCA: α_attn_eff=1.6740 α_ffn_eff=2.8016 φ_l=0.0368 scale=0.9906
Training: 1271378it [2:21:53,  7.05it/s]   FCA: α_attn_eff=1.6676 α_ffn_eff=2.7909 φ_l=0.0368 scale=0.9868
Training: 1271379it [2:21:54,  7.19it/s]   FCA: α_attn_eff=1.6628 α_ffn_eff=2.7829 φ_l=0.0368 scale=0.9840
Training: 1271380it [2:21:54,  7.29it/s]   FCA: α_attn_eff=1.6787 α_ffn_eff=2.8095 φ_l=0.0368 scale=0.9934
Training: 1271381it [2:21:54,  7.38it/s]   FCA: α_attn_eff=1.6692 α_ffn_eff=2.7936 φ_l=0.0368 scale=0.9878
Training: 1271382it [2:21:54,  7.42it/s]   FCA: α_attn_eff=1.6660 α_ffn_eff=2.7882 φ_l=0.0368 scale=0.9859
Training: 1271383it [2:21:54,  7.48it/s]   FCA: α_attn_eff=1.6867 α_ffn_eff=2.8228 φ_l=0.0368 scale=0.9981
Training: 1271384it [2:21:54,  6.44it/s]   FCA: α_attn_eff=1.6708 α_ffn_eff=2.7963 φ_l=0.0368 scale=0.9887
Training: 1271385it [2:21:54,  6.89it/s]   FCA: α_attn_eff=1.6788 α_ffn_eff=2.8096 φ_l=0.0368 scale=0.9934
Training: 1271386it [2:21:55,  7.08it/s]   FCA: α_attn_eff=1.6740 α_ffn_eff=2.8016 φ_l=0.0368 scale=0.9906
Training: 1271387it [2:21:55,  7.24it/s]   FCA: α_attn_eff=1.6692 α_ffn_eff=2.7936 φ_l=0.0368 scale=0.9878
Training: 1271388it [2:21:55,  7.27it/s]   FCA: α_attn_eff=1.6756 α_ffn_eff=2.8042 φ_l=0.0368 scale=0.9915
Training: 1271389it [2:21:55,  7.34it/s]   FCA: α_attn_eff=1.6740 α_ffn_eff=2.8016 φ_l=0.0368 scale=0.9906
Training: 1271390it [2:21:55,  7.39it/s]   FCA: α_attn_eff=1.6803 α_ffn_eff=2.8122 φ_l=0.0368 scale=0.9944
Training: 1271391it [2:21:55,  7.46it/s]   FCA: α_attn_eff=1.6613 α_ffn_eff=2.7803 φ_l=0.0368 scale=0.9831
Training: 1271392it [2:21:55,  6.37it/s]   FCA: α_attn_eff=1.6772 α_ffn_eff=2.8069 φ_l=0.0368 scale=0.9925
Training: 1271393it [2:21:56,  6.83it/s]   FCA: α_attn_eff=1.6772 α_ffn_eff=2.8069 φ_l=0.0368 scale=0.9925
Training: 1271394it [2:21:56,  7.03it/s]   FCA: α_attn_eff=1.6565 α_ffn_eff=2.7723 φ_l=0.0368 scale=0.9802
Training: 1271395it [2:21:56,  7.15it/s]   FCA: α_attn_eff=1.6661 α_ffn_eff=2.7883 φ_l=0.0368 scale=0.9859
Training: 1271396it [2:21:56,  7.25it/s]   FCA: α_attn_eff=1.6708 α_ffn_eff=2.7963 φ_l=0.0368 scale=0.9887
Training: 1271397it [2:21:56,  7.35it/s]   FCA: α_attn_eff=1.6724 α_ffn_eff=2.7989 φ_l=0.0368 scale=0.9897
Training: 1271398it [2:21:56,  7.43it/s]   FCA: α_attn_eff=1.6851 α_ffn_eff=2.8202 φ_l=0.0368 scale=0.9972
Training: 1271399it [2:21:56,  7.41it/s]   FCA: α_attn_eff=1.6740 α_ffn_eff=2.8016 φ_l=0.0368 scale=0.9906
Training: 1271400it [2:21:57,  6.39it/s]   FCA: α_attn_eff=1.6629 α_ffn_eff=2.7830 φ_l=0.0368 scale=0.9840
Training: 1271401it [2:21:57,  6.84it/s]   FCA: α_attn_eff=1.6677 α_ffn_eff=2.7910 φ_l=0.0368 scale=0.9868
Training: 1271402it [2:21:57,  7.05it/s]   FCA: α_attn_eff=1.6597 α_ffn_eff=2.7777 φ_l=0.0368 scale=0.9821
Training: 1271403it [2:21:57,  7.19it/s]   FCA: α_attn_eff=1.6788 α_ffn_eff=2.8096 φ_l=0.0368 scale=0.9934
Training: 1271404it [2:21:57,  7.32it/s]   FCA: α_attn_eff=1.6661 α_ffn_eff=2.7883 φ_l=0.0368 scale=0.9859
Training: 1271405it [2:21:57,  7.42it/s]   FCA: α_attn_eff=1.6565 α_ffn_eff=2.7724 φ_l=0.0368 scale=0.9802
Training: 1271406it [2:21:57,  7.44it/s]   FCA: α_attn_eff=1.6740 α_ffn_eff=2.8016 φ_l=0.0368 scale=0.9906
Training: 1271407it [2:21:58,  7.44it/s]   FCA: α_attn_eff=1.6724 α_ffn_eff=2.7990 φ_l=0.0368 scale=0.9897
Training: 1271408it [2:21:58,  6.39it/s]   FCA: α_attn_eff=1.6661 α_ffn_eff=2.7884 φ_l=0.0368 scale=0.9859
Training: 1271409it [2:21:58,  6.81it/s]   FCA: α_attn_eff=1.6852 α_ffn_eff=2.8203 φ_l=0.0368 scale=0.9972
Training: 1271410it [2:21:58,  7.03it/s]   FCA: α_attn_eff=1.6597 α_ffn_eff=2.7777 φ_l=0.0368 scale=0.9821
Training: 1271411it [2:21:58,  7.15it/s]   FCA: α_attn_eff=1.6756 α_ffn_eff=2.8043 φ_l=0.0368 scale=0.9915
Training: 1271412it [2:21:58,  7.24it/s]   FCA: α_attn_eff=1.6661 α_ffn_eff=2.7884 φ_l=0.0368 scale=0.9859
Training: 1271413it [2:21:58,  7.28it/s]   FCA: α_attn_eff=1.6740 α_ffn_eff=2.8017 φ_l=0.0368 scale=0.9906
Training: 1271414it [2:21:59,  7.35it/s]   FCA: α_attn_eff=1.6661 α_ffn_eff=2.7884 φ_l=0.0368 scale=0.9859
Training: 1271415it [2:21:59,  7.36it/s]   FCA: α_attn_eff=1.6661 α_ffn_eff=2.7884 φ_l=0.0368 scale=0.9859
Training: 1271416it [2:21:59,  6.34it/s]   FCA: α_attn_eff=1.6772 α_ffn_eff=2.8070 φ_l=0.0368 scale=0.9925
Training: 1271417it [2:21:59,  6.74it/s]   FCA: α_attn_eff=1.6692 α_ffn_eff=2.7937 φ_l=0.0368 scale=0.9878
Training: 1271418it [2:21:59,  6.98it/s]   FCA: α_attn_eff=1.6772 α_ffn_eff=2.8070 φ_l=0.0368 scale=0.9925
Training: 1271419it [2:21:59,  7.09it/s]   FCA: α_attn_eff=1.6708 α_ffn_eff=2.7964 φ_l=0.0368 scale=0.9887
Training: 1271420it [2:21:59,  7.22it/s]   FCA: α_attn_eff=1.6581 α_ffn_eff=2.7751 φ_l=0.0368 scale=0.9812
Training: 1271421it [2:22:00,  7.30it/s]   FCA: α_attn_eff=1.6676 α_ffn_eff=2.7911 φ_l=0.0368 scale=0.9868
Training: 1271422it [2:22:00,  7.35it/s]   FCA: α_attn_eff=1.6788 α_ffn_eff=2.8097 φ_l=0.0368 scale=0.9934
Training: 1271423it [2:22:00,  7.37it/s]   FCA: α_attn_eff=1.6724 α_ffn_eff=2.7991 φ_l=0.0368 scale=0.9897
Training: 1271424it [2:22:00,  6.39it/s]   FCA: α_attn_eff=1.6867 α_ffn_eff=2.8231 φ_l=0.0368 scale=0.9981
Training: 1271425it [2:22:00,  6.80it/s]   FCA: α_attn_eff=1.6644 α_ffn_eff=2.7858 φ_l=0.0368 scale=0.9849
Training: 1271426it [2:22:00,  6.99it/s]   FCA: α_attn_eff=1.6772 α_ffn_eff=2.8071 φ_l=0.0368 scale=0.9925
Training: 1271427it [2:22:00,  7.14it/s]   FCA: α_attn_eff=1.6708 α_ffn_eff=2.7965 φ_l=0.0368 scale=0.9887
Training: 1271428it [2:22:01,  7.24it/s]   FCA: α_attn_eff=1.6740 α_ffn_eff=2.8018 φ_l=0.0368 scale=0.9906
Training: 1271429it [2:22:01,  7.36it/s]   FCA: α_attn_eff=1.6803 α_ffn_eff=2.8124 φ_l=0.0368 scale=0.9944
Training: 1271430it [2:22:01,  7.43it/s]   FCA: α_attn_eff=1.6803 α_ffn_eff=2.8124 φ_l=0.0368 scale=0.9944
Training: 1271431it [2:22:01,  7.49it/s]   FCA: α_attn_eff=1.6438 α_ffn_eff=2.7512 φ_l=0.0368 scale=0.9727
Training: 1271432it [2:22:01,  6.42it/s]   FCA: α_attn_eff=1.6644 α_ffn_eff=2.7859 φ_l=0.0368 scale=0.9849
Training: 1271433it [2:22:01,  6.83it/s]   FCA: α_attn_eff=1.6835 α_ffn_eff=2.8178 φ_l=0.0368 scale=0.9962
Training: 1271434it [2:22:01,  7.05it/s]   FCA: α_attn_eff=1.6819 α_ffn_eff=2.8152 φ_l=0.0368 scale=0.9953
Training: 1271435it [2:22:02,  7.21it/s]   FCA: α_attn_eff=1.6755 α_ffn_eff=2.8045 φ_l=0.0368 scale=0.9915
Training: 1271436it [2:22:02,  7.29it/s]   FCA: α_attn_eff=1.6755 α_ffn_eff=2.8045 φ_l=0.0368 scale=0.9915
Training: 1271437it [2:22:02,  7.34it/s]   FCA: α_attn_eff=1.6723 α_ffn_eff=2.7992 φ_l=0.0368 scale=0.9897
Training: 1271438it [2:22:02,  7.42it/s]   FCA: α_attn_eff=1.6819 α_ffn_eff=2.8152 φ_l=0.0368 scale=0.9953
Training: 1271439it [2:22:02,  7.48it/s]   FCA: α_attn_eff=1.6723 α_ffn_eff=2.7992 φ_l=0.0368 scale=0.9897
Training: 1271440it [2:22:02,  6.40it/s]   FCA: α_attn_eff=1.6771 α_ffn_eff=2.8072 φ_l=0.0368 scale=0.9925
Training: 1271441it [2:22:02,  6.84it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8152 φ_l=0.0368 scale=0.9953
Training: 1271442it [2:22:02,  7.02it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8152 φ_l=0.0368 scale=0.9953
Training: 1271443it [2:22:03,  7.19it/s]   FCA: α_attn_eff=1.6580 α_ffn_eff=2.7753 φ_l=0.0368 scale=0.9812
Training: 1271444it [2:22:03,  7.30it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8152 φ_l=0.0368 scale=0.9953
Training: 1271445it [2:22:03,  7.39it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8152 φ_l=0.0368 scale=0.9953
Training: 1271446it [2:22:03,  7.45it/s]   FCA: α_attn_eff=1.6771 α_ffn_eff=2.8072 φ_l=0.0368 scale=0.9925
Training: 1271447it [2:22:03,  7.48it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8152 φ_l=0.0368 scale=0.9953
Training: 1271448it [2:22:03,  6.40it/s]   FCA: α_attn_eff=1.6707 α_ffn_eff=2.7967 φ_l=0.0368 scale=0.9887
Training: 1271449it [2:22:03,  6.81it/s]   FCA: α_attn_eff=1.6834 α_ffn_eff=2.8179 φ_l=0.0368 scale=0.9962
Training: 1271450it [2:22:04,  7.04it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8153 φ_l=0.0368 scale=0.9953
Training: 1271451it [2:22:04,  7.21it/s]   FCA: α_attn_eff=1.6770 α_ffn_eff=2.8073 φ_l=0.0368 scale=0.9925
Training: 1271452it [2:22:04,  7.33it/s]   FCA: α_attn_eff=1.6754 α_ffn_eff=2.8046 φ_l=0.0368 scale=0.9915
Training: 1271453it [2:22:04,  7.42it/s]   FCA: α_attn_eff=1.6707 α_ffn_eff=2.7967 φ_l=0.0368 scale=0.9887
Training: 1271454it [2:22:04,  7.43it/s]   FCA: α_attn_eff=1.6723 α_ffn_eff=2.7993 φ_l=0.0368 scale=0.9897
Training: 1271455it [2:22:04,  7.44it/s]   FCA: α_attn_eff=1.6675 α_ffn_eff=2.7913 φ_l=0.0368 scale=0.9868
Training: 1271456it [2:22:04,  6.39it/s]   FCA: α_attn_eff=1.6595 α_ffn_eff=2.7781 φ_l=0.0368 scale=0.9821
Training: 1271457it [2:22:05,  6.77it/s]   FCA: α_attn_eff=1.6754 α_ffn_eff=2.8047 φ_l=0.0368 scale=0.9915
Training: 1271458it [2:22:05,  6.98it/s]   FCA: α_attn_eff=1.6818 α_ffn_eff=2.8153 φ_l=0.0368 scale=0.9953
Training: 1271459it [2:22:05,  7.13it/s]   FCA: α_attn_eff=1.6706 α_ffn_eff=2.7967 φ_l=0.0368 scale=0.9887
Training: 1271460it [2:22:05,  7.24it/s]   FCA: α_attn_eff=1.6722 α_ffn_eff=2.7994 φ_l=0.0368 scale=0.9897
Training: 1271461it [2:22:05,  7.31it/s]   FCA: α_attn_eff=1.6738 α_ffn_eff=2.8020 φ_l=0.0368 scale=0.9906
Training: 1271462it [2:22:05,  7.38it/s]   FCA: α_attn_eff=1.6690 α_ffn_eff=2.7941 φ_l=0.0368 scale=0.9878
Training: 1271463it [2:22:05,  7.44it/s]   FCA: α_attn_eff=1.6722 α_ffn_eff=2.7994 φ_l=0.0368 scale=0.9897
Training: 1271464it [2:22:06,  6.41it/s]   FCA: α_attn_eff=1.6817 α_ffn_eff=2.8154 φ_l=0.0368 scale=0.9953
Training: 1271465it [2:22:06,  6.86it/s]   FCA: α_attn_eff=1.6770 α_ffn_eff=2.8074 φ_l=0.0368 scale=0.9925
Training: 1271466it [2:22:06,  7.02it/s]   FCA: α_attn_eff=1.6770 α_ffn_eff=2.8074 φ_l=0.0368 scale=0.9925
Training: 1271467it [2:22:06,  7.19it/s]   FCA: α_attn_eff=1.6801 α_ffn_eff=2.8127 φ_l=0.0368 scale=0.9944
Training: 1271468it [2:22:06,  7.31it/s]   FCA: α_attn_eff=1.6786 α_ffn_eff=2.8101 φ_l=0.0368 scale=0.9934
Training: 1271469it [2:22:06,  7.36it/s]   FCA: α_attn_eff=1.6722 α_ffn_eff=2.7994 φ_l=0.0368 scale=0.9897
Training: 1271470it [2:22:06,  7.43it/s]   FCA: α_attn_eff=1.6754 α_ffn_eff=2.8048 φ_l=0.0368 scale=0.9915
Training: 1271471it [2:22:07,  7.49it/s]   FCA: α_attn_eff=1.6690 α_ffn_eff=2.7941 φ_l=0.0368 scale=0.9878
Training: 1271472it [2:22:07,  6.45it/s]   FCA: α_attn_eff=1.6801 α_ffn_eff=2.8128 φ_l=0.0368 scale=0.9944
Training: 1271473it [2:22:07,  6.87it/s]   FCA: α_attn_eff=1.6754 α_ffn_eff=2.8048 φ_l=0.0368 scale=0.9915
Training: 1271474it [2:22:07,  7.03it/s]   FCA: α_attn_eff=1.6801 α_ffn_eff=2.8128 φ_l=0.0368 scale=0.9944
Training: 1271475it [2:22:07,  7.20it/s]   FCA: α_attn_eff=1.6690 α_ffn_eff=2.7942 φ_l=0.0368 scale=0.9878
Training: 1271476it [2:22:07,  7.33it/s]   FCA: α_attn_eff=1.6770 α_ffn_eff=2.8075 φ_l=0.0368 scale=0.9925
Training: 1271477it [2:22:07,  7.42it/s]   FCA: α_attn_eff=1.6817 α_ffn_eff=2.8154 φ_l=0.0368 scale=0.9953
Training: 1271478it [2:22:08,  7.47it/s]   FCA: α_attn_eff=1.6801 α_ffn_eff=2.8128 φ_l=0.0368 scale=0.9944
Training: 1271479it [2:22:08,  7.50it/s]   FCA: α_attn_eff=1.6786 α_ffn_eff=2.8101 φ_l=0.0368 scale=0.9934
Training: 1271480it [2:22:08,  6.42it/s]   FCA: α_attn_eff=1.6849 α_ffn_eff=2.8208 φ_l=0.0368 scale=0.9972
Training: 1271481it [2:22:08,  6.85it/s]   FCA: α_attn_eff=1.6786 α_ffn_eff=2.8102 φ_l=0.0368 scale=0.9934
Training: 1271482it [2:22:08,  7.08it/s]   FCA: α_attn_eff=1.6801 α_ffn_eff=2.8128 φ_l=0.0368 scale=0.9944
Training: 1271483it [2:22:08,  7.21it/s]   FCA: α_attn_eff=1.6722 α_ffn_eff=2.7995 φ_l=0.0368 scale=0.9897
Training: 1271484it [2:22:08,  7.32it/s]   FCA: α_attn_eff=1.6706 α_ffn_eff=2.7969 φ_l=0.0368 scale=0.9887
Training: 1271485it [2:22:09,  7.40it/s]   FCA: α_attn_eff=1.6643 α_ffn_eff=2.7862 φ_l=0.0368 scale=0.9849
Training: 1271486it [2:22:09,  7.48it/s]   FCA: α_attn_eff=1.6706 α_ffn_eff=2.7969 φ_l=0.0368 scale=0.9887
Training: 1271487it [2:22:09,  7.48it/s]   FCA: α_attn_eff=1.6833 α_ffn_eff=2.8182 φ_l=0.0368 scale=0.9962
Training: 1271488it [2:22:09,  6.43it/s]   FCA: α_attn_eff=1.6802 α_ffn_eff=2.8129 φ_l=0.0368 scale=0.9944
Training: 1271489it [2:22:09,  6.88it/s]   FCA: α_attn_eff=1.6849 α_ffn_eff=2.8209 φ_l=0.0368 scale=0.9972
